,Name,Category,Record,Style
59,DIEGO FERREIRA,Lightweight,17-5-0 (W-L-D),MMA
60,CEZAR FERREIRA,Middleweight,14-8-0 (W-L-D),MMA
61,ANDRE FILI,Featherweight,21-9-0 (W-L-D),MMA
62,BRIANNA FORTINO,Women's Strawweight,9-3-0 (W-L-D),MMA
63,KAI KARA FRANCE,Flyweight,24-9-0 (W-L-D),MMA
64,JUSTIN GAETHJE,Lightweight,24-4-0 (W-L-D),MMA
65,DAVEY GRANT,Bantamweight,13-6-0 (W-L-D),MMA
66,ALEXA GRASSO,Women's Flyweight,14-3-0 (W-L-D),MMA
67,TONY GRAVELY,Bantamweight,22-7-0 (W-L-D),MMA
68,DESMOND GREEN,Lightweight,23-8-0 (W-L-D),MMA
69,BOBBY GREEN,Lightweight,29-13-1 (W-L-D),MMA
70,KAY HANSEN,Women's Strawweight,7-6-0 (W-L-D),MMA
71,JAI HERBERT,Lightweight,11-4-0 (W-L-D),MMA
72,JACK HERMANSSON,Middleweight,22-7-0 (W-L-D),MMA
73,ALEXANDER HERNANDEZ,Lightweight,13-5-0 (W-L-D),MMA
74,BRADY HIESTAND,Bantamweight,6-2-0 (W-L-D),MMA
75,JAMAHAL HILL,Light Heavyweight,10-1-0 (W-L-D),MMA
76,DAN HOOKER,Featherweight,21-12-0 (W-L-D),MMA
77,DAMIR ISMAGULOV,Lightweight,23-1-0 (W-L-D),MMA
78,BLAGOY IVANOV,Heavyweight,19-4-0 (W-L-D),MMA
79,MONTEL JACKSON,Bantamweight,12-2-0 (W-L-D),MMA
80,JUSTIN JAYNES,Featherweight,16-8-0 (W-L-D),MMA
81,AARON JEFFERY,Middleweight,6-2-0 (W-L-D),MMA
82,SUNG BIN JO,Featherweight,9-1-0 (W-L-D),MMA
83,MASON JONES,Lightweight,11-1-0 (W-L-D),MMA
84,KRZYSZTOF JOTKO,Middleweight,24-5-0 (W-L-D),MMA
85,DA-UN JUNG,Light Heavyweight,15-2-1 (W-L-D),MMA
86,MANEL KAPE,Flyweight,17-6-0 (W-L-D),MMA
87,IMPA KASANGANAY,Welterweight,9-2-0 (W-L-D),MMA
88,CASEY KENNEY,Bantamweight,16-4-1 (W-L-D),MMA
89,ALIASKHAB KHIZRIEV,Middleweight,14-0-0 (W-L-D),MMA
90,PANNIE KIANZAD,Women's Bantamweight,17-6-0 (W-L-D),MMA
91,KAMUELA KIRK,Featherweight,12-5-0 (W-L-D),MMA
92,KAROLINA KOWALKIEWICZ,Women's Strawweight,13-7-0 (W-L-D),MMA
93,YANA KUNITSKAYA,Women's Bantamweight,14-6-0 (W-L-D),MMA
94,ASPEN LADD,Women's Bantamweight,9-3-0 (W-L-D),MMA
95,TJ LARAMIE,Featherweight,12-5-0 (W-L-D),MMA
96,ROBBIE LAWLER,Welterweight,29-15-0 (W-L-D),MMA
97,VICTORIA LEONARDO,Women's Flyweight,8-5-0 (W-L-D),MMA
98,DHIEGO LIMA,Welterweight,17-9-0 (W-L-D),MMA
99,MICHAEL LOMBARDO,Welterweight,11-2-0 (W-L-D),MMA
